benchmark name,inst_per_warp,branch_efficiency,warp_execution_efficiency,warp_nonpred_execution_efficiency,inst_replay_overhead,shared_load_transactions_per_request,shared_store_transactions_per_request,local_load_transactions_per_request,local_store_transactions_per_request,gld_transactions_per_request,gst_transactions_per_request,shared_store_transactions,shared_load_transactions,local_load_transactions,local_store_transactions,gld_transactions,gst_transactions,sysmem_read_transactions,sysmem_write_transactions,l2_read_transactions,l2_write_transactions,dram_read_transactions,dram_write_transactions,global_hit_rate,local_hit_rate,gld_requested_throughput,gst_requested_throughput,gld_throughput,gst_throughput,local_memory_overhead,tex_cache_hit_rate,l2_tex_read_hit_rate,l2_tex_write_hit_rate,dram_read_throughput,dram_write_throughput,tex_cache_throughput,l2_tex_read_throughput,l2_tex_write_throughput,l2_read_throughput,l2_write_throughput,sysmem_read_throughput,sysmem_write_throughput,local_load_throughput,local_store_throughput,shared_load_throughput,shared_store_throughput,gld_efficiency,gst_efficiency,tex_cache_transactions,flop_count_dp,flop_count_dp_add,flop_count_dp_fma,flop_count_dp_mul,flop_count_sp,flop_count_sp_add,flop_count_sp_fma,flop_count_sp_mul,flop_count_sp_special,inst_executed,inst_issued,dram_utilization,sysmem_utilization,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,stall_texture,stall_sync,stall_other,stall_constant_memory_dependency,stall_pipe_busy,shared_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_bit_convert,inst_control,inst_compute_ld_st,inst_misc,inst_inter_thread_communication,issue_slots,cf_issued,cf_executed,ldst_issued,ldst_executed,atomic_transactions,atomic_transactions_per_request,l2_atomic_throughput,l2_atomic_transactions,l2_tex_read_transactions,stall_memory_throttle,stall_not_selected,l2_tex_write_transactions,nvlink_total_data_transmitted,nvlink_total_data_received,nvlink_user_data_transmitted,nvlink_user_data_received,nvlink_overhead_data_transmitted,nvlink_overhead_data_received,nvlink_total_nratom_data_transmitted,nvlink_user_nratom_data_transmitted,nvlink_total_ratom_data_transmitted,nvlink_user_ratom_data_transmitted,nvlink_total_write_data_transmitted,nvlink_user_write_data_transmitted,nvlink_transmit_throughput,nvlink_receive_throughput,nvlink_total_response_data_received,nvlink_user_response_data_received,flop_count_hp,flop_count_hp_add,flop_count_hp_mul,flop_count_hp_fma,inst_fp_16,ipc,issued_ipc,issue_slot_utilization,sm_efficiency,achieved_occupancy,eligible_warps_per_cycle,shared_utilization,l2_utilization,tex_utilization,ldst_fu_utilization,cf_fu_utilization,tex_fu_utilization,special_fu_utilization,half_precision_fu_utilization,single_precision_fu_utilization,double_precision_fu_utilization,flop_hp_efficiency,flop_sp_efficiency,flop_dp_efficiency,sysmem_read_utilization,sysmem_write_utilization,pcie_total_data_transmitted,pcie_total_data_received,inst_executed_global_loads,inst_executed_local_loads,inst_executed_shared_loads,inst_executed_surface_loads,inst_executed_global_stores,inst_executed_local_stores,inst_executed_shared_stores,inst_executed_surface_stores,inst_executed_global_atomics,inst_executed_global_reductions,inst_executed_surface_atomics,inst_executed_surface_reductions,inst_executed_shared_atomics,inst_executed_tex_ops,l2_global_load_bytes,l2_local_load_bytes,l2_surface_load_bytes,dram_read_bytes,dram_write_bytes,l2_local_global_store_bytes,l2_global_reduction_bytes,l2_global_atomic_store_bytes,l2_surface_store_bytes,l2_surface_reduction_bytes,l2_surface_atomic_store_bytes,global_load_requests,local_load_requests,surface_load_requests,global_store_requests,local_store_requests,surface_store_requests,global_atomic_requests,global_reduction_requests,surface_atomic_requests,surface_reduction_requests,sysmem_read_bytes,sysmem_write_bytes,l2_tex_hit_rate,texture_load_requests,unique_warps_launched
backprop,104.000000,1.0,0.9999925000000001,0.99999224,0.005179,0.645833,0.696429,0.000000,0.000000,15.999834,4.999939,159744,253952,0,0,3670058,327686,0,5,300214,327729,283943,284615,0.61058733,0.0,352.585915,170.950193,502.168312,213.688394,0.0,0.7463216699999999,0.09215551,1.0,185.163282,185.601595,598.323068,195.550888,213.688394,195.773631,213.716621,0.000000,3.832934,0.000000,0.000000,760.458981,478.353230,0.70212697,0.79999756,917514,9437296,1048592,2097184,4194336,2031616,983040,0,1048576,0,3407872,3417179,6,1,0.028312080000000003,0.11515929,0.64440546,0.0441245,0.22819534,0.37019539,0.00491815,0.01228692,0.5544554500000001,2031616,7340112,20512768,9437296,1048576,18939904,37879808,0,3315452,65536,65536,1638400,1638400,0,0.000000,0.000000,0,299872,0.00136145,0.01020208,327686,576,384,0,0,1.0,1.0,0,0,0,0,0,0,13.798627,9.199076,0,0,0,0,0,0,0,1.222106,1.220621,0.59211341,0.89131469,0.938420,1.763097,2,2,3,5,1,4,0,0,3,1,0.0,0.00497868,0.041842410000000003,0,1,292,219,229381,0,393216,0,65538,0,229376,0,0,0,0,0,0,0,9596288,0,0,9086189,9107698,10485952,0,0,0,0,0,917514,0,0,262148,0,0,0,0,0,0,0,160,0.5976753,0,32768
bfs,104.885106,1.0,0.8479112999999999,0.79803417,0.008716,0.000000,0.000000,0.000000,0.000000,4.373801,1.066575,0,0,0,0,2982821,341715,0,5,1330011,588474,967500,333831,0.15687922,0.0,36.442585,9.135985,284.420425,62.761142,0.0,0.69932847,0.6664597600000001,0.7387240199999999,177.695829,61.313194,186.991647,244.301553,62.761142,244.276380,108.082124,0.000000,962.926758,0.000000,0.000000,0.000000,0.000000,1.0,0.08371946,1018113,0,0,0,0,0,0,0,0,0,3436875,3442846,2,1,0.0272807,0.12126559,0.6738447700000001,0.00431934,0.0,0.14534573,0.043205999999999994,0.0013781099999999999,0.0,0,0,12874657,0,1485578,3184430,10728644,0,3419351,215871,215871,1354605,786368,0,0.000000,0.000000,0,1330148,0.07440486,0.0083071,341715,576,384,0,0,1.0,1.0,0,0,0,0,0,0,19.674270,13.116168,0,0,0,0,0,0,0,0.614151,0.622144,0.31028787,0.77363769,0.755778,0.940345,0,1,1,1,1,2,0,0,2,0,0.0,0.0,0.0,0,1,201,85,522564,0,0,0,198268,0,0,0,0,0,0,0,0,0,42563109,0,0,30960012,10682621,10934897,0,0,0,0,0,1018113,0,0,270955,0,0,0,0,0,0,0,160,0.66532871,0,32768
b+tree,249.430625,1.0,0.9667603499999999,0.89996419,0.000528,0.000000,0.000000,0.000000,0.000000,19.499512,1.000000,0,0,0,0,19436146,60000,0,5,790690,60020,275250,69010,0.6481030400000001,0.0,240.793237,2.296451,382.040845,10.206450,0.0,0.8474739800000001,0.66333427,0.99374,47.864007,12.323434,826.558431,141.667911,10.206450,141.867395,10.209852,0.000000,965.709961,0.000000,0.000000,0.000000,0.000000,0.6302814,0.225,4859036,0,0,0,0,0,0,0,0,0,12241453,12247915,1,1,0.03418394,0.049473149999999994,0.51491432,0.0,0.42383771000000003,0.06729228,0.00112636,0.00331478,0.0,0,0,210174174,0,33280000,36608286,86441982,0,10812512,1369593,1369593,4319036,2009593,0,0.000000,0.000000,0,790396,0.00034869999999999996,0.01460993,60000,576,384,0,0,1.0,1.0,0,0,0,0,0,0,3.395090,2.263391,0,0,0,0,0,0,0,1.026819,1.027361,0.44573711000000005,0.97114495,0.927164,1.711111,0,1,4,1,1,3,0,0,4,0,0.0,0.0,0.0,0,1,0,0,1019958,0,0,0,102000,0,0,0,0,0,0,0,0,0,25294080,0,0,8808000,2208320,1920000,0,0,0,0,0,3683036,0,0,60000,0,0,0,0,0,0,0,160,0.6830149,0,80000
cfd,1153.030253,1.0,1.0,1.0,0.091649,0.000000,0.000000,0.000000,0.000000,16.000046,4.000000,0,0,0,0,4769814,145440,0,5,2602537,145466,611653,169941,0.11739461000000001,0.0,294.748760,410.446302,763.174917,410.446302,0.0,0.5,0.76469938,0.47306457,282.001717,387.084954,308.822616,673.662393,410.446302,674.021364,410.505566,0.000000,14.449064,0.000000,0.000000,0.000000,0.000000,1.0,1.0,1192453,0,0,0,0,119857550,21685519,41960937,14250154,2347311,8384547,8388281,7,1,0.148373,0.11023268,0.90567539,0.17074456000000002,0.0,0.32328854,0.10567897,0.0035391499999999996,0.0,95707915,0,61094846,232704,43504627,10607764,29163873,0,7227137,1759800,1759800,1352437,349026,0,0.000000,0.000000,0,2601200,0.36809458,0.01654612,145440,577,384,0,0,1.0,1.0,0,0,0,0,0,0,52.016867,34.677880,0,0,0,0,0,0,0,1.040826,1.042389,0.44925131999999995,0.92282646,0.838497,1.338161,0,3,2,1,2,3,1,0,4,0,0.0,0.1087124,0.0,0,1,214,82,298122,0,0,0,36360,0,0,0,0,0,0,0,0,0,83234967,0,0,19572926,5438062,4654080,0,0,0,0,0,1192453,0,0,145440,0,0,0,0,0,0,0,160,0.72417919,0,7272
dwt2d,2308.729630,1.0,1.0,0.96315789,0.006202,1.000000,1.000000,0.000000,0.000000,16.000081,4.000000,102870,154268,0,0,675002,393216,0,5,166417,393236,138273,386892,0.09462037000000001,0.0,166.801679,357.355228,182.483888,357.355228,0.0,0.51670544,0.24622745999999998,0.049448650000000004,140.181419,351.607969,171.078645,165.263830,357.355228,168.713789,357.373404,0.000000,16.095668,0.000000,0.000000,625.587210,417.158168,1.0,1.0,168750,0,0,0,0,0,0,0,0,0,1556480,1562001,7,1,0.07729042,0.21383848,0.47307482,0.00293178,0.27034517,0.07468864,0.15729932,0.03219933,0.95521009,0,0,26476544,17537,3145728,10846772,9437184,0,1363050,155648,155648,745472,425520,0,0.000000,0.000000,0,163014,0.1301432,0.03973082,393216,576,384,0,0,1.0,1.0,0,0,0,0,0,0,57.944668,38.629745,0,0,0,0,0,0,0,0.698030,0.711417,0.31040221,0.85494698,0.877288,1.004335,1,2,1,2,1,3,1,0,3,0,0.0,0.0,0.0,0,1,0,170,47250,0,172530,0,98304,0,106920,0,0,0,0,0,0,0,5218624,0,0,4424746,12380544,12582912,0,0,0,0,0,168750,0,0,393216,0,0,0,0,0,0,0,160,0.14067856,0,32768
gaussian,33.204728,1.0,0.97876069,0.95053511,0.142382,0.000000,0.000000,0.000000,0.000000,15.609136,30.470811,0,0,0,0,544208,225268,0,5,207171,225281,45602,51130,0.1644611,0.0,484.733729,469.626623,62.589156,57.309246,0.0,0.37449802,0.78773915,1.0,11.601353,14.172881,949.050879,52.583317,57.309246,52.705201,57.312644,0.000000,35.678929,0.000000,0.000000,0.000000,0.000000,0.2779823,0.2047196,136051,0,0,0,0,721907,526,360953,0,526,1782928,1784284,1,1,0.10121155,0.2872482,0.52348872,0.0001025,0.0,0.05699737,0.46393962,0.00348082,0.0,360953,0,16923298,0,1048576,1443814,7762952,0,1672851,122117,122117,380122,289750,0,0.000000,0.000000,0,206692,0.02205962,0.01617524,225268,576,384,0,0,1.0,1.0,0,0,0,0,0,0,128.617021,85.744605,0,0,0,0,0,0,0,0.273945,0.271398,0.12705439,0.69940928,0.189634,0.412371,0,1,1,1,1,1,1,0,1,0,0.0,0.00060874,0.0,0,1,206,74,68273,0,0,0,22757,0,0,0,0,0,0,0,0,0,6622808,0,0,1459265,1636178,7208592,0,0,0,0,0,136051,0,0,45350,0,0,0,0,0,0,0,160,0.8983362800000001,0,65536
heartwall,759881.699632,0.80613044,0.80179581,0.7680800999999999,0.000177,0.985045,0.950000,0.000000,0.000000,15.281671,6.999633,4893,36107706,0,0,662776581,6352794,0,5,8753237,6353523,3614242,3489386,0.9242971799999999,0.0,258.533713,12.587646,505.993755,23.376831,0.0,0.9436385199999999,0.60706468,0.71624676,13.299585,12.840146,609.716600,32.213398,23.376831,32.209915,23.379516,0.000000,19.291992,0.000000,0.000000,531.472443,73.755762,0.50401322,0.55238924,165694144,19897,6632,6632,0,1792106581,94804497,845931279,5439524,16675365,310031733,310035491,1,1,0.1120546,0.18754643000000001,0.60456585,0.0,0.03256322,0.04584929,0.0035535099999999997,0.00577724,0.11816708000000001,967014413,13265,3586236702,68411570,530120700,1964786561,414392634,0,246787348,29762306,29762306,194156750,79927460,0,0.000000,0.000000,0,8754184,0.0,0.008089859999999999,6352794,576,384,0,0,1.0,1.0,0,0,0,0,0,0,69.452148,46.301758,0,0,0,0,0,0,0,0.511534,0.511635,0.20519893,0.8890584800000001,0.124485,0.470832,0,1,3,1,1,3,1,0,2,0,0.0,0.01966843,4.3999999999999997e-07,0,1,1459,102,44156057,0,34823098,0,892477,0,4893,0,0,0,0,0,0,0,280248924,0,0,115655748,111660379,203289408,0,0,0,0,0,155816082,0,0,3474920,0,0,0,0,0,0,0,160,0.6516096,0,408
hotspot,264.116279,1.0,0.9024582200000001,0.8713786299999999,0.003161,0.999042,0.997531,0.000000,0.000000,16.000068,4.883721,69488,179396,0,0,467842,53760,0,5,171674,53780,36643,12801,0.0070799999999999995,0.0,99.166239,28.109683,148.166027,46.117448,0.0,0.39980818,0.78707529,1.0,31.433810,10.981448,100.332900,147.117012,46.117448,147.268972,46.134850,0.000000,4.392110,0.000000,0.000000,615.571854,238.438187,0.66929134,0.60952381,116960,6173600,2469440,1852080,0,16669760,3745456,6153472,617360,1893376,3906808,3921029,1,1,0.054020580000000006,0.10323631000000001,0.08304417000000001,0.0,0.14464154,0.5345601099999999,0.019185129999999998,0.02477181,0.7802912200000001,12883008,4321520,52711888,5124192,6626816,9299216,17971248,0,3470271,332304,332304,587724,526148,0,0.000000,0.000000,0,171497,0.00026251,0.03627784,53760,576,384,0,0,1.0,1.0,0,0,0,0,0,0,15.811668,10.541103,0,0,0,0,0,0,0,1.654675,1.644509,0.72772581,0.8550061499999999,0.679647,2.959608,1,1,1,2,1,1,1,0,6,1,0.0,0.04716201,0.03493264,0,1,219,73,29240,0,179568,0,11008,0,69660,0,0,0,0,0,0,0,5491785,0,0,1172576,409641,1720320,0,0,0,0,0,116960,0,0,44032,0,0,0,0,0,0,0,160,0.83791354,0,14792
hotspot3D,437.000000,1.0,1.0,0.99542334,0.001618,0.000000,0.000000,0.000000,0.000000,16.000005,4.000000,0,0,0,0,6291458,262144,0,5,785233,262164,526159,276365,0.53545611,0.0,678.319140,113.126840,731.789248,113.126840,0.0,0.7330867600000001,0.33230261,0.0,227.061386,119.264191,678.761042,339.124943,113.126840,338.863500,113.135471,0.000000,2.209495,0.000000,0.000000,0.000000,0.000000,0.92693237,1.0,1572864,0,0,0,0,35651584,1835008,14942208,3932160,0,3579904,3585261,6,1,0.00762009,0.15782165,0.44509768,0.00325636,0.0,0.36213693999999996,0.00291975,0.00234231,0.0,20709376,0,57933824,0,1572864,14680064,19136512,0,3380033,65536,65536,1867776,491520,0,0.000000,0.000000,0,785839,0.00910756,0.00969766,262144,576,384,0,0,1.0,1.0,0,0,0,0,0,0,7.954217,5.302806,0,0,0,0,0,0,0,0.743876,0.745085,0.35122025,0.91609725,0.861981,1.228861,0,2,3,1,1,4,0,0,3,0,0.0,0.05301943,0.0,0,1,281,46,393216,0,0,0,65536,0,0,0,0,0,0,0,0,0,25208554,0,0,16837109,8843706,8388608,0,0,0,0,0,1572864,0,0,262144,0,0,0,0,0,0,0,160,0.24909886,0,8192
huffman,1183.312500,1.0,1.0,0.97360642,0.058914,17.641602,17.641602,0.000000,0.000000,16.062500,14.905518,226024,388152,0,0,393218,71308,0,5,36448,75353,928,15907,0.86766705,0.0,541.106668,542.163518,541.106668,549.561462,0.0,0.9090909100000001,1.0,1.0,296.988278,244.910069,541.106668,541.106668,549.561462,676.383369,604.517622,0.000000,43.733716,0.000000,0.000000,1459.630991,849.954747,1.0,1.0,98304,0,0,0,0,0,0,0,0,0,2774016,2784147,1,1,0.12047957000000001,0.23446323,0.7101029400000001,0.00065193,0.39809549,0.45409796999999996,0.33721797000000003,0.01163559,0.47281805,0,0,37868440,0,13369344,12526568,14105576,0,2199437,486400,486400,718844,817152,3584,7.132812,30.176476,14336,36352,0.025826440000000003,0.02194519,71308,576,384,0,0,1.0,1.0,0,0,0,0,0,0,157.442090,104.961302,0,0,0,0,0,0,0,1.301644,1.311312,0.51803087,0.8507440599999999,0.834865,1.676719,3,1,1,3,2,1,0,0,4,0,0.0,0.0,0.0,0,1,512,512,24576,0,146432,0,11264,0,86016,0,0,896,0,0,16384,0,1163264,0,0,29696,509024,2281856,229376,0,0,0,0,98304,0,0,11260,0,0,0,3584,0,0,0,160,1.0,0,8192
