==4283== NVPROF is profiling process 4283, command: ./b+tree file ../../data/b+tree/mil.txt command ../../data/b+tree/command.txt
==4283== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==4283== Profiling application: ./b+tree file ../../data/b+tree/mil.txt command ../../data/b+tree/command.txt
==4283== Profiling result:
==4283== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"tex0_cache_sector_queries",2784788,2784788,2784788,2784788
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"tex1_cache_sector_queries",2790628,2790628,2790628,2790628
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"tex0_cache_sector_misses",425721,425721,425721,425721
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"tex1_cache_sector_misses",425117,425117,425117,425117
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"fb_subp0_read_sectors",68893,68893,68893,68893
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"fb_subp1_read_sectors",69070,69070,69070,69070
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"fb_subp0_write_sectors",17304,17304,17304,17304
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"fb_subp1_write_sectors",16350,16350,16350,16350
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"fb1_subp0_read_sectors",68539,68539,68539,68539
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"fb1_subp1_read_sectors",68738,68738,68738,68738
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"fb1_subp0_write_sectors",17444,17444,17444,17444
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"fb1_subp1_write_sectors",16763,16763,16763,16763
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"l2_subp0_write_sector_misses",34748,34748,34748,34748
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"l2_subp1_write_sector_misses",34757,34757,34757,34757
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"l2_subp0_read_sector_misses",137432,137432,137432,137432
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"l2_subp1_read_sector_misses",137910,137910,137910,137910
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"l2_subp0_read_tex_sector_queries",397826,397826,397826,397826
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"l2_subp1_read_tex_sector_queries",393012,393012,393012,393012
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"l2_subp0_write_tex_sector_queries",30000,30000,30000,30000
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"l2_subp1_write_tex_sector_queries",30000,30000,30000,30000
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"l2_subp0_read_tex_hit_sectors",260595,260595,260595,260595
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"l2_subp1_read_tex_hit_sectors",255323,255323,255323,255323
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"l2_subp0_write_tex_hit_sectors",29436,29436,29436,29436
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"l2_subp1_write_tex_hit_sectors",29438,29438,29438,29438
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"l2_subp0_total_read_sector_queries",397918,397918,397918,397918
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"l2_subp1_total_read_sector_queries",393074,393074,393074,393074
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"l2_subp0_total_write_sector_queries",30018,30018,30018,30018
