==12717== NVPROF is profiling process 12717, command: ./b+tree file ../../data/b+tree/mil.txt command ../../data/b+tree/command.txt
==12717== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==12717== Profiling application: ./b+tree file ../../data/b+tree/mil.txt command ../../data/b+tree/command.txt
==12717== Profiling result:
==12717== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"inst_per_warp","Instructions per warp",249.430625,249.430625,249.430625
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"warp_execution_efficiency","Warp Execution Efficiency",96.676035%,96.676035%,96.676035%
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",88.771500%,88.771500%,88.771500%
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"inst_replay_overhead","Instruction Replay Overhead",0.000325,0.000325,0.000325
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"gld_transactions_per_request","Global Load Transactions Per Request",19.055830,19.055830,19.055830
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"gst_transactions_per_request","Global Store Transactions Per Request",0.588235,0.588235,0.588235
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"shared_store_transactions","Shared Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"shared_load_transactions","Shared Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"gld_transactions","Global Load Transactions",19436146,19436146,19436146
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"gst_transactions","Global Store Transactions",60000,60000,60000
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"l2_read_transactions","L2 Read Transactions",790690,790690,790690
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"l2_write_transactions","L2 Write Transactions",60020,60020,60020
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"dram_read_transactions","Device Memory Read Transactions",275250,275250,275250
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"dram_write_transactions","Device Memory Write Transactions",69010,69010,69010
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"global_hit_rate","Global Hit Rate in unified l1/tex",64.810304%,64.810304%,64.810304%
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"gld_requested_throughput","Requested Global Load Throughput",240.793237GB/s,240.793237GB/s,240.793237GB/s
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"gst_requested_throughput","Requested Global Store Throughput",2.296451GB/s,2.296451GB/s,2.296451GB/s
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"gld_throughput","Global Load Throughput",382.040845GB/s,382.040845GB/s,382.040845GB/s
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"gst_throughput","Global Store Throughput",10.206450GB/s,10.206450GB/s,10.206450GB/s
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"tex_cache_hit_rate","Unified Cache Hit Rate",84.747398%,84.747398%,84.747398%
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",65.299673%,65.299673%,65.299673%
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",98.123333%,98.123333%,98.123333%
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"dram_read_throughput","Device Memory Read Throughput",46.822087GB/s,46.822087GB/s,46.822087GB/s
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"dram_write_throughput","Device Memory Write Throughput",11.739118GB/s,11.739118GB/s,11.739118GB/s
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"tex_cache_throughput","Unified Cache Throughput",826.558431GB/s,826.558431GB/s,826.558431GB/s
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",134.452282GB/s,134.452282GB/s,134.452282GB/s
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",10.206450GB/s,10.206450GB/s,10.206450GB/s
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"l2_read_throughput","L2 Throughput (Reads)",134.502293GB/s,134.502293GB/s,134.502293GB/s
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"l2_write_throughput","L2 Throughput (Writes)",10.209852GB/s,10.209852GB/s,10.209852GB/s
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"sysmem_write_throughput","System Memory Write Throughput",891.852539KB/s,891.852539KB/s,891.846680KB/s
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"shared_load_throughput","Shared Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"shared_store_throughput","Shared Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"gld_efficiency","Global Memory Load Efficiency",63.028140%,63.028140%,63.028140%
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"gst_efficiency","Global Memory Store Efficiency",22.500000%,22.500000%,22.500000%
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"tex_cache_transactions","Unified Cache Transactions",4859036,4859036,4859036
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",0,0,0
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",0,0,0
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",0,0,0
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",0,0,0
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"inst_executed","Instructions Executed",11972670,11972670,11972670
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"inst_issued","Instructions Issued",11976556,11976556,11976556
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"dram_utilization","Device Memory Utilization","Low (1)","Low (1)","Low (1)"
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"sysmem_utilization","System Memory Utilization","Low (1)","Low (1)","Low (1)"
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",2.613208%,2.613208%,2.613208%
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",3.684594%,3.684594%,3.684594%
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",51.491432%,51.491432%,51.491432%
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"stall_texture","Issue Stall Reasons (Texture)",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"stall_sync","Issue Stall Reasons (Synchronization)",34.484243%,34.484243%,34.484243%
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"stall_other","Issue Stall Reasons (Other)",5.928841%,5.928841%,5.928841%
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"stall_constant_memory_dependency","Issue Stall Reasons (Immediate constant)",0.100724%,0.100724%,0.100724%
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"stall_pipe_busy","Issue Stall Reasons (Pipe Busy)",0.232516%,0.232516%,0.232516%
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"shared_efficiency","Shared Memory Efficiency",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"inst_fp_32","FP Instructions(Single)",0,0,0
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"inst_fp_64","FP Instructions(Double)",0,0,0
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"inst_integer","Integer Instructions",210174174,210174174,210174174
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"inst_bit_convert","Bit-Convert Instructions",0,0,0
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"inst_control","Control-Flow Instructions",26112000,26112000,26112000
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"inst_compute_ld_st","Load/Store Instructions",36608286,36608286,36608286
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"inst_misc","Misc Instructions",67211736,67211736,67211736
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"inst_inter_thread_communication","Inter-Thread Instructions",0,0,0
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"issue_slots","Issue Slots",10812512,10812512,10812512
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"cf_issued","Issued Control-Flow Instructions",1049958,1049958,1049958
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"cf_executed","Executed Control-Flow Instructions",1049958,1049958,1049958
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"ldst_issued","Issued Load/Store Instructions",4319036,4319036,4319036
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"ldst_executed","Executed Load/Store Instructions",1937958,1937958,1937958
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"atomic_transactions","Atomic Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"atomic_transactions_per_request","Atomic Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"l2_atomic_throughput","L2 Throughput (Atomic requests)",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","findRangeK",1,"l2_atomic_transactions","L2 Transactions (Atomic requests)",0,0,0
