"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"Tesla P100-SXM2-16GB (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",7,"tex0_cache_sector_queries",376648,377384,377016,2639112
"Tesla P100-SXM2-16GB (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",7,"tex1_cache_sector_queries",376280,377016,376648,2636536
"Tesla P100-SXM2-16GB (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",7,"tex0_cache_sector_misses",265850,266888,266183,1863284
"Tesla P100-SXM2-16GB (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",7,"tex1_cache_sector_misses",265588,266628,266294,1864060
"Tesla P100-SXM2-16GB (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",7,"fb_subp0_read_sectors",35192,35304,35247,246729
"Tesla P100-SXM2-16GB (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",7,"fb_subp1_read_sectors",35278,35398,35355,247490
"Tesla P100-SXM2-16GB (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",7,"fb_subp0_write_sectors",37490,37682,37603,263223
"Tesla P100-SXM2-16GB (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",7,"fb_subp1_write_sectors",37502,37670,37565,262957
"Tesla P100-SXM2-16GB (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",7,"fb1_subp0_read_sectors",35200,35309,35250,246751
"Tesla P100-SXM2-16GB (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",7,"fb1_subp1_read_sectors",35219,35435,35342,247395
"Tesla P100-SXM2-16GB (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",7,"fb1_subp0_write_sectors",37417,37599,37543,262806
"Tesla P100-SXM2-16GB (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",7,"fb1_subp1_write_sectors",37404,37581,37500,262503
"Tesla P100-SXM2-16GB (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",7,"l2_subp0_write_sector_misses",74907,75281,75148,526037
"Tesla P100-SXM2-16GB (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",7,"l2_subp1_write_sector_misses",74892,75244,75121,525853
"Tesla P100-SXM2-16GB (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",7,"l2_subp0_read_sector_misses",70413,70576,70497,493480
"Tesla P100-SXM2-16GB (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",7,"l2_subp1_read_sector_misses",70353,70565,70467,493275
"Tesla P100-SXM2-16GB (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",7,"l2_subp0_read_tex_sector_queries",77822,77823,77822,544759
"Tesla P100-SXM2-16GB (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",7,"l2_subp1_read_tex_sector_queries",77821,77825,77823,544761
