==12588== NVPROF is profiling process 12588, command: ./backprop_cuda 65536
==12588== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==12588== Profiling application: ./backprop_cuda 65536
==12588== Profiling result:
==12588== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",7,"inst_per_warp","Instructions per warp",104.000000,104.000000,104.000000
"Tesla P100-SXM2-16GB (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",7,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",7,"warp_execution_efficiency","Warp Execution Efficiency",90.084135%,90.084135%,90.084135%
"Tesla P100-SXM2-16GB (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",7,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",73.737981%,73.737981%,73.737981%
"Tesla P100-SXM2-16GB (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",7,"inst_replay_overhead","Instruction Replay Overhead",0.001637,0.002887,0.002337
"Tesla P100-SXM2-16GB (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",7,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.645833,0.645833,0.645833
"Tesla P100-SXM2-16GB (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",7,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.696429,0.696429,0.696429
"Tesla P100-SXM2-16GB (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",7,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",7,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",7,"gld_transactions_per_request","Global Load Transactions Per Request",12.000031,12.000031,12.000031
