==4314== NVPROF is profiling process 4314, command: ./euler3d ../../data/cfd/missile.domn.0.2M
==4314== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==4314== Profiling application: ./euler3d ../../data/cfd/missile.domn.0.2M
==4314== Profiling result:
==4314== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"tex0_cache_sector_queries",145440,145920,145760,437280
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"tex1_cache_sector_queries",144960,145440,145120,435360
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"tex0_cache_sector_misses",145200,145680,145440,436320
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"tex1_cache_sector_misses",145200,145680,145440,436320
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"fb_subp0_read_sectors",24,27,26,78
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"fb_subp1_read_sectors",1,1,1,3
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"fb_subp0_write_sectors",34231,34764,34566,103698
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"fb_subp1_write_sectors",34115,34630,34289,102868
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"fb1_subp0_read_sectors",6,9,7,21
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"fb1_subp1_read_sectors",0,0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"fb1_subp0_write_sectors",34454,34790,34667,104002
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"fb1_subp1_write_sectors",33918,34554,34280,102842
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"l2_subp0_write_sector_misses",68685,69522,69233,207700
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"l2_subp1_write_sector_misses",68077,69404,68907,206722
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"l2_subp0_read_sector_misses",33,33,33,99
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"l2_subp1_read_sector_misses",17,17,17,51
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"l2_subp0_read_tex_sector_queries",0,0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"l2_subp1_read_tex_sector_queries",0,0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"l2_subp0_write_tex_sector_queries",72720,72720,72720,218160
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"l2_subp1_write_tex_sector_queries",72720,72720,72720,218160
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"l2_subp0_read_tex_hit_sectors",0,0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"l2_subp1_read_tex_hit_sectors",0,0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"l2_subp0_write_tex_hit_sectors",0,0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"l2_subp1_write_tex_hit_sectors",0,0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"l2_subp0_total_read_sector_queries",96,96,96,288
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"l2_subp1_total_read_sector_queries",48,48,48,144
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"l2_subp0_total_write_sector_queries",72735,72739,72736,218209
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"l2_subp1_total_write_sector_queries",72722,72726,72724,218174
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"l2_subp0_read_sysmem_sector_queries",0,0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"l2_subp1_read_sysmem_sector_queries",0,0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"l2_subp0_write_sysmem_sector_queries",0,4,1,4
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"l2_subp1_write_sysmem_sector_queries",1,5,3,11
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"gld_inst_8bit",0,0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"gld_inst_16bit",0,0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"gld_inst_32bit",0,0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"gld_inst_64bit",0,0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"gld_inst_128bit",0,0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"gst_inst_8bit",0,0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"gst_inst_16bit",0,0,0,0
