==4631== NVPROF is profiling process 4631, command: ./dwt2d rgb.bmp -d 1024x1024 -f -5 -l 3
==4631== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==4631== Profiling application: ./dwt2d rgb.bmp -d 1024x1024 -f -5 -l 3
==4631== Profiling result:
==4631== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"Tesla P100-SXM2-16GB (0)","void dwt_cuda::fdwt53Kernel<int=128, int=8>(int const *, int*, int, int, int)",3,"tex0_cache_sector_queries",76776,76776,76776,230328
"Tesla P100-SXM2-16GB (0)","void dwt_cuda::fdwt53Kernel<int=128, int=8>(int const *, int*, int, int, int)",3,"tex1_cache_sector_queries",64784,64784,64784,194352
"Tesla P100-SXM2-16GB (0)","void dwt_cuda::fdwt53Kernel<int=128, int=8>(int const *, int*, int, int, int)",3,"tex0_cache_sector_misses",56770,56770,56770,170310
"Tesla P100-SXM2-16GB (0)","void dwt_cuda::fdwt53Kernel<int=128, int=8>(int const *, int*, int, int, int)",3,"tex1_cache_sector_misses",47126,47126,47126,141378
"Tesla P100-SXM2-16GB (0)","void dwt_cuda::fdwt53Kernel<int=128, int=8>(int const *, int*, int, int, int)",3,"fb_subp0_read_sectors",8344,8344,8344,25032
"Tesla P100-SXM2-16GB (0)","void dwt_cuda::fdwt53Kernel<int=128, int=8>(int const *, int*, int, int, int)",3,"fb_subp1_read_sectors",8192,8192,8192,24576
"Tesla P100-SXM2-16GB (0)","void dwt_cuda::fdwt53Kernel<int=128, int=8>(int const *, int*, int, int, int)",3,"fb_subp0_write_sectors",8396,8468,8422,25268
"Tesla P100-SXM2-16GB (0)","void dwt_cuda::fdwt53Kernel<int=128, int=8>(int const *, int*, int, int, int)",3,"fb_subp1_write_sectors",8352,8384,8372,25116
"Tesla P100-SXM2-16GB (0)","void dwt_cuda::fdwt53Kernel<int=128, int=8>(int const *, int*, int, int, int)",3,"fb1_subp0_read_sectors",8352,8352,8352,25056
"Tesla P100-SXM2-16GB (0)","void dwt_cuda::fdwt53Kernel<int=128, int=8>(int const *, int*, int, int, int)",3,"fb1_subp1_read_sectors",8208,8208,8208,24624
"Tesla P100-SXM2-16GB (0)","void dwt_cuda::fdwt53Kernel<int=128, int=8>(int const *, int*, int, int, int)",3,"fb1_subp0_write_sectors",8409,8585,8483,25451
"Tesla P100-SXM2-16GB (0)","void dwt_cuda::fdwt53Kernel<int=128, int=8>(int const *, int*, int, int, int)",3,"fb1_subp1_write_sectors",8324,8480,8425,25276
"Tesla P100-SXM2-16GB (0)","void dwt_cuda::fdwt53Kernel<int=128, int=8>(int const *, int*, int, int, int)",3,"l2_subp0_write_sector_misses",16805,17053,16906,50719
"Tesla P100-SXM2-16GB (0)","void dwt_cuda::fdwt53Kernel<int=128, int=8>(int const *, int*, int, int, int)",3,"l2_subp1_write_sector_misses",16804,16996,16884,50652
"Tesla P100-SXM2-16GB (0)","void dwt_cuda::fdwt53Kernel<int=128, int=8>(int const *, int*, int, int, int)",3,"l2_subp0_read_sector_misses",16696,16696,16696,50088
"Tesla P100-SXM2-16GB (0)","void dwt_cuda::fdwt53Kernel<int=128, int=8>(int const *, int*, int, int, int)",3,"l2_subp1_read_sector_misses",16696,16696,16696,50088
"Tesla P100-SXM2-16GB (0)","void dwt_cuda::fdwt53Kernel<int=128, int=8>(int const *, int*, int, int, int)",3,"l2_subp0_read_tex_sector_queries",19180,19180,19180,57540
"Tesla P100-SXM2-16GB (0)","void dwt_cuda::fdwt53Kernel<int=128, int=8>(int const *, int*, int, int, int)",3,"l2_subp1_read_tex_sector_queries",19180,19180,19180,57540
