==13428== NVPROF is profiling process 13428, command: ./gaussian -f ../../data/gaussian/matrix1024.txt
==13428== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==13428== Profiling application: ./gaussian -f ../../data/gaussian/matrix1024.txt
==13428== Profiling result:
==13428== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","Fan2(float*, float*, float*, int, int, int)",993,"inst_per_warp","Instructions per warp",12.342773,51.062500,27.205337
"Tesla P100-SXM2-16GB (0)","Fan2(float*, float*, float*, int, int, int)",993,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","Fan2(float*, float*, float*, int, int, int)",993,"warp_execution_efficiency","Warp Execution Efficiency",49.745489%,49.983315%,49.851720%
"Tesla P100-SXM2-16GB (0)","Fan2(float*, float*, float*, int, int, int)",993,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",47.835183%,49.852557%,48.466576%
"Tesla P100-SXM2-16GB (0)","Fan2(float*, float*, float*, int, int, int)",993,"inst_replay_overhead","Instruction Replay Overhead",0.000307,0.003047,0.000926
"Tesla P100-SXM2-16GB (0)","Fan2(float*, float*, float*, int, int, int)",993,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","Fan2(float*, float*, float*, int, int, int)",993,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","Fan2(float*, float*, float*, int, int, int)",993,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","Fan2(float*, float*, float*, int, int, int)",993,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","Fan2(float*, float*, float*, int, int, int)",993,"gld_transactions_per_request","Global Load Transactions Per Request",7.208333,7.984446,7.933404
"Tesla P100-SXM2-16GB (0)","Fan2(float*, float*, float*, int, int, int)",993,"gst_transactions_per_request","Global Store Transactions Per Request",7.041667,11.902390,9.765477
"Tesla P100-SXM2-16GB (0)","Fan2(float*, float*, float*, int, int, int)",993,"shared_store_transactions","Shared Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","Fan2(float*, float*, float*, int, int, int)",993,"shared_load_transactions","Shared Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","Fan2(float*, float*, float*, int, int, int)",993,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","Fan2(float*, float*, float*, int, int, int)",993,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","Fan2(float*, float*, float*, int, int, int)",993,"gld_transactions","Global Load Transactions",1634,1575938,544208
"Tesla P100-SXM2-16GB (0)","Fan2(float*, float*, float*, int, int, int)",993,"gst_transactions","Global Store Transactions",507,782086,225268
"Tesla P100-SXM2-16GB (0)","Fan2(float*, float*, float*, int, int, int)",993,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","Fan2(float*, float*, float*, int, int, int)",993,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"Tesla P100-SXM2-16GB (0)","Fan2(float*, float*, float*, int, int, int)",993,"l2_read_transactions","L2 Read Transactions",650,639053,207171
"Tesla P100-SXM2-16GB (0)","Fan2(float*, float*, float*, int, int, int)",993,"l2_write_transactions","L2 Write Transactions",520,782106,225281
"Tesla P100-SXM2-16GB (0)","Fan2(float*, float*, float*, int, int, int)",993,"dram_read_transactions","Device Memory Read Transactions",171,131906,45602
