==5318== NVPROF is profiling process 5318, command: ./heartwall ../../data/heartwall/test.avi 20
==5318== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==5318== Profiling application: ./heartwall ../../data/heartwall/test.avi 20
==5318== Profiling result:
==5318== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"tex0_cache_sector_queries",131380,172344112,163581946,3271638920
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"tex1_cache_sector_queries",107959,141568244,134370924,2687418480
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"tex0_cache_sector_misses",32094,10554150,9990508,199810164
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"tex1_cache_sector_misses",26460,8666239,8170613,163412278
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"fb_subp0_read_sectors",17,959329,904309,18086187
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"fb_subp1_read_sectors",10,958055,903705,18074110
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"fb_subp0_write_sectors",5229,920576,872452,17449058
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"fb_subp1_write_sectors",5190,919658,871982,17439640
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"fb1_subp0_read_sectors",4,959068,904030,18080610
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"fb1_subp1_read_sectors",14,958512,903789,18075790
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"fb1_subp0_write_sectors",5059,919650,871409,17428193
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"fb1_subp1_write_sectors",5041,920285,872584,17451680
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"l2_subp0_write_sector_misses",10288,1840226,1743862,34877251
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"l2_subp1_write_sector_misses",10314,1841112,1744340,34886800
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"l2_subp0_read_sector_misses",21,1918397,1808339,36166797
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"l2_subp1_read_sector_misses",28,1918737,1808417,36168354
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"l2_subp0_read_tex_sector_queries",9342,4631984,4370194,87403887
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"l2_subp1_read_tex_sector_queries",9732,4651253,4387037,87740743
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"l2_subp0_write_tex_sector_queries",10133,3352917,3176258,63525170
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"l2_subp1_write_tex_sector_queries",10159,3353067,3176535,63530710
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"l2_subp0_read_tex_hit_sectors",9321,2721903,2565178,51303569
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"l2_subp1_read_tex_hit_sectors",9717,2740558,2582826,51656533
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"l2_subp0_write_tex_hit_sectors",6450,2413904,2284509,45690181
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"l2_subp1_write_tex_hit_sectors",6810,2414071,2284816,45696339
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"l2_subp0_total_read_sector_queries",9678,4624083,4373483,87469660
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"l2_subp1_total_read_sector_queries",10116,4644777,4391445,87828901
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"l2_subp0_total_write_sector_queries",10151,3353327,3176644,63532898
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"l2_subp1_total_write_sector_queries",10162,3353432,3176878,63537563
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"l2_subp0_read_sysmem_sector_queries",0,0,0,0
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"l2_subp1_read_sysmem_sector_queries",0,0,0,0
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"l2_subp0_write_sysmem_sector_queries",1,5,3,68
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"l2_subp1_write_sysmem_sector_queries",0,4,1,32
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"gld_inst_8bit",0,0,0,0
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"gld_inst_16bit",0,0,0,0
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"gld_inst_32bit",981036,1086990897,1031545428,20630908569
