==13950== NVPROF is profiling process 13950, command: ./heartwall ../../data/heartwall/test.avi 20
==13950== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==13950== Profiling application: ./heartwall ../../data/heartwall/test.avi 20
==13950== Profiling result:
==13950== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"inst_per_warp","Instructions per warp",905.000000,800701.943627,759881.699632
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"branch_efficiency","Branch Efficiency",79.632355%,99.242424%,80.613044%
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"warp_execution_efficiency","Warp Execution Efficiency",79.203406%,98.703858%,80.179581%
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",75.907121%,93.903406%,76.808010%
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"inst_replay_overhead","Instruction Replay Overhead",0.000011,0.003315,0.000177
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,1.036891,0.985045
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,1.000000,0.950000
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"gld_transactions_per_request","Global Load Transactions Per Request",15.009284,20.451138,15.281671
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"gst_transactions_per_request","Global Store Transactions Per Request",4.736695,7.119548,6.999633
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"shared_store_transactions","Shared Store Transactions",0,5151,4893
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"shared_load_transactions","Shared Load Transactions",0,38008159,36107706
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"gld_transactions","Global Load Transactions",906374,698643494,662776581
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"gst_transactions","Global Store Transactions",20292,6705984,6352794
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"l2_read_transactions","L2 Read Transactions",19170,9261395,8753237
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"l2_write_transactions","L2 Write Transactions",20311,6706758,6353523
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"dram_read_transactions","Device Memory Read Transactions",34,3831972,3614242
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"dram_write_transactions","Device Memory Write Transactions",20396,3680825,3489386
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"global_hit_rate","Global Hit Rate in unified l1/tex",69.448360%,93.669910%,92.429718%
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"gld_requested_throughput","Requested Global Load Throughput",56.681354GB/s,258.882831GB/s,258.533713GB/s
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"gst_requested_throughput","Requested Global Store Throughput",12.476496GB/s,40.466694GB/s,12.587646GB/s
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"gld_throughput","Global Load Throughput",152.247655GB/s,506.672275GB/s,505.993755GB/s
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"gst_throughput","Global Store Throughput",23.174153GB/s,49.484390GB/s,23.376831GB/s
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"tex_cache_hit_rate","Unified Cache Hit Rate",83.552200%,94.945141%,94.363852%
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",58.031109%,99.748349%,60.706468%
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",65.833826%,72.011758%,71.624676%
"Tesla P100-SXM2-16GB (0)","kernel(params_common_change*, params_common*, params_unique*)",20,"dram_read_throughput","Device Memory Read Throughput",84.902843MB/s,13.377224GB/s,13.299585GB/s
