==5352== NVPROF is profiling process 5352, command: ./hotspot 512 2 2 ../../data/hotspot/temp_512 ../../data/hotspot/power_512
==5352== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==5352== Profiling application: ./hotspot 512 2 2 ../../data/hotspot/temp_512 ../../data/hotspot/power_512
==5352== Profiling result:
==5352== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"Tesla P100-SXM2-16GB (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float)",7,"tex0_cache_sector_queries",187052,187752,187433,1312032
"Tesla P100-SXM2-16GB (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float)",7,"tex1_cache_sector_queries",187608,188308,187926,1315488
"Tesla P100-SXM2-16GB (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float)",7,"tex0_cache_sector_misses",129100,129516,129262,904836
"Tesla P100-SXM2-16GB (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float)",7,"tex1_cache_sector_misses",129056,129508,129273,904916
"Tesla P100-SXM2-16GB (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float)",7,"fb_subp0_read_sectors",8930,9286,9132,63930
"Tesla P100-SXM2-16GB (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float)",7,"fb_subp1_read_sectors",8984,9276,9122,63856
"Tesla P100-SXM2-16GB (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float)",7,"fb_subp0_write_sectors",3107,3477,3316,23215
"Tesla P100-SXM2-16GB (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float)",7,"fb_subp1_write_sectors",2956,3400,3144,22008
"Tesla P100-SXM2-16GB (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float)",7,"fb1_subp0_read_sectors",9016,9288,9150,64052
"Tesla P100-SXM2-16GB (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float)",7,"fb1_subp1_read_sectors",9161,9445,9301,65112
"Tesla P100-SXM2-16GB (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float)",7,"fb1_subp0_write_sectors",3304,3476,3388,23716
"Tesla P100-SXM2-16GB (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float)",7,"fb1_subp1_write_sectors",3010,3326,3168,22179
"Tesla P100-SXM2-16GB (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float)",7,"l2_subp0_write_sector_misses",6543,6953,6704,46931
