==14014== NVPROF is profiling process 14014, command: ./hotspot 512 2 2 ../../data/hotspot/temp_512 ../../data/hotspot/power_512
==14014== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==14014== Profiling application: ./hotspot 512 2 2 ../../data/hotspot/temp_512 ../../data/hotspot/power_512
==14014== Profiling result:
==14014== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float)",7,"inst_per_warp","Instructions per warp",264.116279,264.116279,264.116279
"Tesla P100-SXM2-16GB (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float)",7,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float)",7,"warp_execution_efficiency","Warp Execution Efficiency",90.245822%,90.245822%,90.245822%
"Tesla P100-SXM2-16GB (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float)",7,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",87.137863%,87.137863%,87.137863%
"Tesla P100-SXM2-16GB (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float)",7,"inst_replay_overhead","Instruction Replay Overhead",0.003006,0.003437,0.003161
"Tesla P100-SXM2-16GB (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float)",7,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.999042,0.999042,0.999042
"Tesla P100-SXM2-16GB (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float)",7,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.997531,0.997531,0.997531
"Tesla P100-SXM2-16GB (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float)",7,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float)",7,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float)",7,"gld_transactions_per_request","Global Load Transactions Per Request",16.000068,16.000068,16.000068
