==5503== NVPROF is profiling process 5503, command: ./pavle ../../data/huffman/test1024_H2.206587175259.in
==5503== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==5503== Profiling application: ./pavle ../../data/huffman/test1024_H2.206587175259.in
==5503== Profiling result:
==5503== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"Tesla P100-SXM2-16GB (0)","vlc_encode_kernel_sm64huff(unsigned int*, unsigned int const *, unsigned int const *, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*)",10,"tex0_cache_sector_queries",107745,108587,108272,1082729
"Tesla P100-SXM2-16GB (0)","vlc_encode_kernel_sm64huff(unsigned int*, unsigned int const *, unsigned int const *, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*)",10,"tex1_cache_sector_queries",107749,108591,108063,1080631
"Tesla P100-SXM2-16GB (0)","vlc_encode_kernel_sm64huff(unsigned int*, unsigned int const *, unsigned int const *, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*)",10,"tex0_cache_sector_misses",27875,28097,27983,279831
"Tesla P100-SXM2-16GB (0)","vlc_encode_kernel_sm64huff(unsigned int*, unsigned int const *, unsigned int const *, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*)",10,"tex1_cache_sector_misses",27983,28205,28096,280969
"Tesla P100-SXM2-16GB (0)","vlc_encode_kernel_sm64huff(unsigned int*, unsigned int const *, unsigned int const *, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*)",10,"fb_subp0_read_sectors",6,26,20,202
"Tesla P100-SXM2-16GB (0)","vlc_encode_kernel_sm64huff(unsigned int*, unsigned int const *, unsigned int const *, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*)",10,"fb_subp1_read_sectors",24,44,38,388
"Tesla P100-SXM2-16GB (0)","vlc_encode_kernel_sm64huff(unsigned int*, unsigned int const *, unsigned int const *, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*)",10,"fb_subp0_write_sectors",1715,2105,1860,18604
"Tesla P100-SXM2-16GB (0)","vlc_encode_kernel_sm64huff(unsigned int*, unsigned int const *, unsigned int const *, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*)",10,"fb_subp1_write_sectors",1692,1824,1764,17640
"Tesla P100-SXM2-16GB (0)","vlc_encode_kernel_sm64huff(unsigned int*, unsigned int const *, unsigned int const *, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*)",10,"fb1_subp0_read_sectors",0,19,12,122
"Tesla P100-SXM2-16GB (0)","vlc_encode_kernel_sm64huff(unsigned int*, unsigned int const *, unsigned int const *, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*)",10,"fb1_subp1_read_sectors",16,34,26,266
"Tesla P100-SXM2-16GB (0)","vlc_encode_kernel_sm64huff(unsigned int*, unsigned int const *, unsigned int const *, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*)",10,"fb1_subp0_write_sectors",1691,2082,1856,18566
"Tesla P100-SXM2-16GB (0)","vlc_encode_kernel_sm64huff(unsigned int*, unsigned int const *, unsigned int const *, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*)",10,"fb1_subp1_write_sectors",1662,1860,1777,17771
"Tesla P100-SXM2-16GB (0)","vlc_encode_kernel_sm64huff(unsigned int*, unsigned int const *, unsigned int const *, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*)",10,"l2_subp0_write_sector_misses",3419,4187,3717,37170
"Tesla P100-SXM2-16GB (0)","vlc_encode_kernel_sm64huff(unsigned int*, unsigned int const *, unsigned int const *, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*)",10,"l2_subp1_write_sector_misses",3411,4175,3725,37250
"Tesla P100-SXM2-16GB (0)","vlc_encode_kernel_sm64huff(unsigned int*, unsigned int const *, unsigned int const *, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*)",10,"l2_subp0_read_sector_misses",6,44,32,324
"Tesla P100-SXM2-16GB (0)","vlc_encode_kernel_sm64huff(unsigned int*, unsigned int const *, unsigned int const *, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*)",10,"l2_subp1_read_sector_misses",1,35,26,263
"Tesla P100-SXM2-16GB (0)","vlc_encode_kernel_sm64huff(unsigned int*, unsigned int const *, unsigned int const *, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*)",10,"l2_subp0_read_tex_sector_queries",18176,18176,18176,181760
"Tesla P100-SXM2-16GB (0)","vlc_encode_kernel_sm64huff(unsigned int*, unsigned int const *, unsigned int const *, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*)",10,"l2_subp1_read_tex_sector_queries",18176,18176,18176,181760
"Tesla P100-SXM2-16GB (0)","vlc_encode_kernel_sm64huff(unsigned int*, unsigned int const *, unsigned int const *, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*)",10,"l2_subp0_write_tex_sector_queries",5256,5256,5256,52560
"Tesla P100-SXM2-16GB (0)","vlc_encode_kernel_sm64huff(unsigned int*, unsigned int const *, unsigned int const *, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*)",10,"l2_subp1_write_tex_sector_queries",5256,5256,5256,52560
"Tesla P100-SXM2-16GB (0)","vlc_encode_kernel_sm64huff(unsigned int*, unsigned int const *, unsigned int const *, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*)",10,"l2_subp0_read_tex_hit_sectors",18144,18160,18148,181484
