==5538== NVPROF is profiling process 5538, command: ./hybridsort r
==5538== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==5538== Profiling application: ./hybridsort r
==5538== Profiling result:
==5538== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"tex0_cache_sector_queries",129410,131202,130017,520070
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"tex1_cache_sector_queries",131328,133120,132512,530050
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"tex0_cache_sector_misses",127618,132226,130593,522374
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"tex1_cache_sector_misses",130304,134912,131936,527746
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"fb_subp0_read_sectors",32828,32828,32828,131312
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"fb_subp1_read_sectors",32818,32818,32818,131272
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"fb_subp0_write_sectors",30754,30975,30851,123405
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"fb_subp1_write_sectors",30744,30887,30834,123339
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"fb1_subp0_read_sectors",32832,32832,32832,131328
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"fb1_subp1_read_sectors",32817,32817,32817,131268
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"fb1_subp0_write_sectors",30436,30756,30635,122541
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"fb1_subp1_write_sectors",30629,31026,30829,123319
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"l2_subp0_write_sector_misses",61287,61704,61486,245946
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"l2_subp1_write_sector_misses",61151,61683,61538,246155
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"l2_subp0_read_sector_misses",65660,65660,65660,262640
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"l2_subp1_read_sector_misses",65651,65651,65651,262604
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"l2_subp0_read_tex_sector_queries",65632,65632,65632,262528
