==14137== NVPROF is profiling process 14137, command: ./hybridsort r
==14137== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==14137== Profiling application: ./hybridsort r
==14137== Profiling result:
==14137== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"inst_per_warp","Instructions per warp",38.990497,38.990497,38.990497
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"warp_execution_efficiency","Warp Execution Efficiency",99.992384%,99.992384%,99.992384%
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",97.428886%,97.428886%,97.428886%
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"inst_replay_overhead","Instruction Replay Overhead",0.017898,0.017976,0.017933
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"gld_transactions_per_request","Global Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"gst_transactions_per_request","Global Store Transactions Per Request",15.998172,15.998172,15.998172
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"shared_store_transactions","Shared Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"shared_load_transactions","Shared Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"gld_transactions","Global Load Transactions",2,2,2
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"gst_transactions","Global Store Transactions",131265,131265,131265
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"l2_read_transactions","L2 Read Transactions",131367,131367,131367
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"l2_write_transactions","L2 Write Transactions",131286,131286,131286
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"dram_read_transactions","Device Memory Read Transactions",131279,131279,131279
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"dram_write_transactions","Device Memory Write Transactions",122959,123578,123233
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"global_hit_rate","Global Hit Rate in unified l1/tex",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"gld_requested_throughput","Requested Global Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"gst_requested_throughput","Requested Global Store Throughput",216.240222GB/s,217.164530GB/s,216.485534GB/s
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"gld_throughput","Global Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"gst_throughput","Global Store Throughput",216.240222GB/s,217.164530GB/s,216.485534GB/s
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"tex_cache_hit_rate","Unified Cache Hit Rate",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",0.700872%,0.965985%,0.787719%
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"dram_read_throughput","Device Memory Read Throughput",216.263285GB/s,217.187692GB/s,216.508623GB/s
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"dram_write_throughput","Device Memory Write Throughput",202.767495GB/s,203.576994GB/s,203.239370GB/s
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"tex_cache_throughput","Unified Cache Throughput",216.241869GB/s,217.166185GB/s,216.487184GB/s
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",216.240222GB/s,217.164530GB/s,216.485534GB/s
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",216.240222GB/s,217.164530GB/s,216.485534GB/s
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"l2_read_throughput","L2 Throughput (Reads)",216.408252GB/s,217.333279GB/s,216.653755GB/s
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"l2_write_throughput","L2 Throughput (Writes)",216.274816GB/s,217.199273GB/s,216.520168GB/s
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"sysmem_write_throughput","System Memory Write Throughput",8.434464MB/s,8.470516MB/s,8.443979MB/s
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"shared_load_throughput","Shared Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"shared_store_throughput","Shared Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"gld_efficiency","Global Memory Load Efficiency",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"gst_efficiency","Global Memory Store Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"tex_cache_transactions","Unified Cache Transactions",131266,131266,131266
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",0,0,0
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",0,0,0
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",0,0,0
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",0,0,0
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"inst_executed","Instructions Executed",320034,320034,320034
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"inst_issued","Instructions Issued",325730,325787,325764
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"dram_utilization","Device Memory Utilization","High (7)","High (7)","High (7)"
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"sysmem_utilization","System Memory Utilization","Low (1)","Low (1)","Low (1)"
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",0.488889%,0.547768%,0.524394%
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",1.313113%,1.471745%,1.410186%
"Tesla P100-SXM2-16GB (0)","mergeSortFirst(float4*, int)",4,"stall_memory_dependency","Issue Stall Reasons (Data Request)",69.748934%,73.786064%,72.006737%
