==5681== NVPROF is profiling process 5681, command: ./lud -s 256
==5681== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==5681== Profiling application: ./lud -s 256
==5681== Profiling result:
==5681== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"tex0_cache_sector_queries",124,124,124,13888
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"tex1_cache_sector_queries",0,0,0,0
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"tex0_cache_sector_misses",92,92,92,10304
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"tex1_cache_sector_misses",0,0,0,0
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"fb_subp0_read_sectors",0,0,0,0
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"fb_subp1_read_sectors",0,0,0,0
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"fb_subp0_write_sectors",0,4,0,44
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"fb_subp1_write_sectors",0,4,0,28
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"fb1_subp0_read_sectors",0,0,0,0
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"fb1_subp1_read_sectors",0,0,0,0
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"fb1_subp0_write_sectors",0,4,0,50
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"fb1_subp1_write_sectors",0,4,0,24
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"l2_subp0_write_sector_misses",0,4,0,94
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"l2_subp1_write_sector_misses",0,4,0,48
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"l2_subp0_read_sector_misses",0,0,0,0
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"l2_subp1_read_sector_misses",0,0,0,0
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"l2_subp0_read_tex_sector_queries",0,32,16,1792
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"l2_subp1_read_tex_sector_queries",0,32,16,1792
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"l2_subp0_write_tex_sector_queries",0,30,15,1680
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"l2_subp1_write_tex_sector_queries",0,30,15,1680
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"l2_subp0_read_tex_hit_sectors",0,32,16,1792
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"l2_subp1_read_tex_hit_sectors",0,32,16,1792
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"l2_subp0_write_tex_hit_sectors",0,30,15,1680
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"l2_subp1_write_tex_hit_sectors",0,30,15,1680
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"l2_subp0_total_read_sector_queries",8,64,24,2724
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"l2_subp1_total_read_sector_queries",8,40,24,2712
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"l2_subp0_total_write_sector_queries",9,43,25,2904
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"l2_subp1_total_write_sector_queries",0,34,17,1912
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"l2_subp0_read_sysmem_sector_queries",0,0,0,0
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"l2_subp1_read_sysmem_sector_queries",0,0,0,0
