==14300== NVPROF is profiling process 14300, command: ./lud -s 256
==14300== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==14300== Profiling application: ./lud -s 256
==14300== Profiling result:
==14300== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"inst_per_warp","Instructions per warp",2944.000000,2944.000000,2944.000000
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"warp_execution_efficiency","Warp Execution Efficiency",23.250679%,23.252802%,23.251722%
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",22.501274%,22.503397%,22.503378%
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"inst_replay_overhead","Instruction Replay Overhead",0.001359,0.003057,0.001419
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.494118,1.494118,1.494118
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",1.984375,1.984375,1.984375
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"gld_transactions_per_request","Global Load Transactions Per Request",8.125000,8.125000,8.125000
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"gst_transactions_per_request","Global Store Transactions Per Request",2.000000,2.000000,2.000000
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"shared_store_transactions","Shared Store Transactions",508,508,508
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"shared_load_transactions","Shared Load Transactions",762,762,762
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"gld_transactions","Global Load Transactions",130,130,130
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"gst_transactions","Global Store Transactions",30,30,30
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"l2_read_transactions","L2 Read Transactions",48,192,49
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"l2_write_transactions","L2 Write Transactions",43,43,43
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"dram_read_transactions","Device Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"dram_write_transactions","Device Memory Write Transactions",0,12,4
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"global_hit_rate","Global Hit Rate in unified l1/tex",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"gld_requested_throughput","Requested Global Load Throughput",51.997364MB/s,52.678956MB/s,52.149164MB/s
"Tesla P100-SXM2-16GB (0)","lud_diagonal(float*, int, int)",112,"gst_requested_throughput","Requested Global Store Throughput",48.747529MB/s,49.386521MB/s,48.889838MB/s
