==6730== NVPROF is profiling process 6730, command: ./myocyte 100 1 0
==6730== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==6730== Profiling application: ./myocyte 100 1 0
==6730== Profiling result:
==6730== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",1178,"tex0_cache_sector_queries",200,200,200,235600
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",1178,"tex1_cache_sector_queries",0,0,0,0
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",1178,"tex0_cache_sector_misses",111,111,111,130758
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",1178,"tex1_cache_sector_misses",0,0,0,0
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",1178,"fb_subp0_read_sectors",0,7,0,7
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",1178,"fb_subp1_read_sectors",0,0,0,0
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",1178,"fb_subp0_write_sectors",0,4,0,200
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",1178,"fb_subp1_write_sectors",0,4,0,80
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",1178,"fb1_subp0_read_sectors",0,11,0,11
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",1178,"fb1_subp1_read_sectors",0,0,0,0
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",1178,"fb1_subp0_write_sectors",0,12,0,196
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",1178,"fb1_subp1_write_sectors",0,8,0,76
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",1178,"l2_subp0_write_sector_misses",0,16,0,396
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",1178,"l2_subp1_write_sector_misses",0,16,0,388
