==15956== NVPROF is profiling process 15956, command: ./myocyte 100 1 0
==15956== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==15956== Profiling application: ./myocyte 100 1 0
==15956== Profiling result:
==15956== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"inst_per_warp","Instructions per warp",4526.500000,5122.500000,4629.401163
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"warp_execution_efficiency","Warp Execution Efficiency",3.342484%,3.371120%,3.365999%
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",3.168619%,3.207843%,3.198742%
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"inst_replay_overhead","Instruction Replay Overhead",0.004208,0.007069,0.005142
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"gld_transactions_per_request","Global Load Transactions Per Request",4.018868,4.018868,4.018868
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"gst_transactions_per_request","Global Store Transactions Per Request",1.000000,1.000000,1.000000
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"shared_store_transactions","Shared Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"shared_load_transactions","Shared Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"gld_transactions","Global Load Transactions",426,426,426
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"gst_transactions","Global Store Transactions",94,94,94
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"l2_read_transactions","L2 Read Transactions",65,2601,1919
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"l2_write_transactions","L2 Write Transactions",107,107,107
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"dram_read_transactions","Device Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"dram_write_transactions","Device Memory Write Transactions",0,24,10
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"global_hit_rate","Global Hit Rate in unified l1/tex",83.962264%,83.962264%,83.962264%
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"gld_requested_throughput","Requested Global Load Throughput",9.248385MB/s,11.003534MB/s,10.646882MB/s
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"gst_requested_throughput","Requested Global Store Throughput",8.201398MB/s,9.757852MB/s,9.441571MB/s
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"gld_throughput","Global Load Throughput",73.987083MB/s,88.028281MB/s,85.175235MB/s
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"gst_throughput","Global Store Throughput",65.611187MB/s,78.062815MB/s,75.532752MB/s
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"tex_cache_hit_rate","Unified Cache Hit Rate",44.500000%,44.500000%,44.500000%
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"dram_read_throughput","Device Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"dram_write_throughput","Device Memory Write Throughput",0.000000B/s,19.857980MB/s,8.035382MB/s
