==6899== NVPROF is profiling process 6899, command: ./nn filelist_4 -r 5 -lat 30 -lng 90
==6899== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==6899== Profiling application: ./nn filelist_4 -r 5 -lat 30 -lng 90
==6899== Profiling result:
==6899== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"tex0_cache_sector_queries",16128,16128,16128,112896
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"tex1_cache_sector_queries",15945,15945,15945,111615
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"tex0_cache_sector_misses",10752,10752,10752,75264
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"tex1_cache_sector_misses",10630,10630,10630,74410
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"fb_subp0_read_sectors",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"fb_subp1_read_sectors",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"fb_subp0_write_sectors",8,10,9,68
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"fb_subp1_write_sectors",0,4,0,4
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"fb1_subp0_read_sectors",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"fb1_subp1_read_sectors",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"fb1_subp0_write_sectors",8,8,8,56
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"fb1_subp1_write_sectors",4,8,4,32
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"l2_subp0_write_sector_misses",16,18,17,124
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"l2_subp1_write_sector_misses",4,4,4,28
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"l2_subp0_read_sector_misses",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"l2_subp1_read_sector_misses",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"l2_subp0_read_tex_sector_queries",5344,5344,5344,37408
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"l2_subp1_read_tex_sector_queries",5347,5347,5347,37429
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"l2_subp0_write_tex_sector_queries",2674,2674,2674,18718
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"l2_subp1_write_tex_sector_queries",2672,2672,2672,18704
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"l2_subp0_read_tex_hit_sectors",5344,5344,5344,37408
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"l2_subp1_read_tex_hit_sectors",5347,5347,5347,37429
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"l2_subp0_write_tex_hit_sectors",2674,2674,2674,18718
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"l2_subp1_write_tex_hit_sectors",2672,2672,2672,18704
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"l2_subp0_total_read_sector_queries",5392,5400,5393,37752
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"l2_subp1_total_read_sector_queries",5395,5403,5396,37773
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"l2_subp0_total_write_sector_queries",2683,2687,2685,18797
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"l2_subp1_total_write_sector_queries",2672,2677,2673,18717
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"l2_subp0_read_sysmem_sector_queries",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"l2_subp1_read_sysmem_sector_queries",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"l2_subp0_write_sysmem_sector_queries",1,5,2,19
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"l2_subp1_write_sysmem_sector_queries",0,4,2,16
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"gld_inst_8bit",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"gld_inst_16bit",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"gld_inst_32bit",85528,85528,85528,598696
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"gld_inst_64bit",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"gld_inst_128bit",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"gst_inst_8bit",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"gst_inst_16bit",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"gst_inst_32bit",42764,42764,42764,299348
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"gst_inst_64bit",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"gst_inst_128bit",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"prof_trigger_00",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"prof_trigger_01",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"prof_trigger_02",0,0,0,0
