==16113== NVPROF is profiling process 16113, command: ./nn filelist_4 -r 5 -lat 30 -lng 90
==16113== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==16113== Profiling application: ./nn filelist_4 -r 5 -lat 30 -lng 90
==16113== Profiling result:
==16113== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"inst_per_warp","Instructions per warp",38.859375,38.859375,38.859375
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"warp_execution_efficiency","Warp Execution Efficiency",99.967689%,99.967689%,99.967689%
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",97.408907%,97.408907%,97.408907%
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"inst_replay_overhead","Instruction Replay Overhead",0.045513,0.068489,0.061698
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"gld_transactions_per_request","Global Load Transactions Per Request",15.994764,15.994764,15.994764
