==6936== NVPROF is profiling process 6936, command: ./needle 2048 10
==6936== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==6936== Profiling application: ./needle 2048 10
==6936== Profiling result:
==6936== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"Tesla P100-SXM2-16GB (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",896,"tex0_cache_sector_queries",174,12528,6769,6065640
"Tesla P100-SXM2-16GB (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",896,"tex1_cache_sector_queries",0,9744,4453,3990168
"Tesla P100-SXM2-16GB (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",896,"tex0_cache_sector_misses",141,10152,5485,4915260
"Tesla P100-SXM2-16GB (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",896,"tex1_cache_sector_misses",0,7896,3608,3233412
"Tesla P100-SXM2-16GB (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",896,"fb_subp0_read_sectors",23,1917,1022,915985
"Tesla P100-SXM2-16GB (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",896,"fb_subp1_read_sectors",14,1904,1015,909768
"Tesla P100-SXM2-16GB (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",896,"fb_subp0_write_sectors",24,3734,1468,1315867
"Tesla P100-SXM2-16GB (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",896,"fb_subp1_write_sectors",24,3585,1418,1270530
"Tesla P100-SXM2-16GB (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",896,"fb1_subp0_read_sectors",19,1916,1015,910186
"Tesla P100-SXM2-16GB (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",896,"fb1_subp1_read_sectors",16,1913,1015,910277
"Tesla P100-SXM2-16GB (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",896,"fb1_subp0_write_sectors",24,3680,1453,1302724
"Tesla P100-SXM2-16GB (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",896,"fb1_subp1_write_sectors",16,3534,1407,1261133
"Tesla P100-SXM2-16GB (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",896,"l2_subp0_write_sector_misses",52,7409,2922,2618627
"Tesla P100-SXM2-16GB (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",896,"l2_subp1_write_sector_misses",36,7487,2928,2623865
"Tesla P100-SXM2-16GB (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",896,"l2_subp0_read_sector_misses",42,3828,2038,1826170
"Tesla P100-SXM2-16GB (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",896,"l2_subp1_read_sector_misses",30,3823,2031,1820021
"Tesla P100-SXM2-16GB (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",896,"l2_subp0_read_tex_sector_queries",35,4155,2096,1878205
"Tesla P100-SXM2-16GB (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",896,"l2_subp1_read_tex_sector_queries",30,4165,2096,1878275
"Tesla P100-SXM2-16GB (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",896,"l2_subp0_write_tex_sector_queries",24,2944,1483,1329216
"Tesla P100-SXM2-16GB (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",896,"l2_subp1_write_tex_sector_queries",22,2944,1483,1329216
"Tesla P100-SXM2-16GB (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",896,"l2_subp0_read_tex_hit_sectors",0,561,75,67435
"Tesla P100-SXM2-16GB (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",896,"l2_subp1_read_tex_hit_sectors",0,578,75,67380
"Tesla P100-SXM2-16GB (0)","needle_cuda_shared_1(int*, int*, int, int, int, int)",896,"l2_subp0_write_tex_hit_sectors",23,2859,1093,979997
