==17029== NVPROF is profiling process 17029, command: ./particlefilter_double -x 128 -y 128 -z 10 -np 10000
==17029== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==17029== Profiling application: ./particlefilter_double -x 128 -y 128 -z 10 -np 10000
==17029== Profiling result:
==17029== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",63,"inst_per_warp","Instructions per warp",10.271875,10.271875,10.271875
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",63,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",63,"warp_execution_efficiency","Warp Execution Efficiency",97.434971%,97.436873%,97.435877%
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",63,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",97.429267%,97.429267%,97.429267%
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",63,"inst_replay_overhead","Instruction Replay Overhead",0.097657,0.097657,0.097657
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",63,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",63,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",63,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",63,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",63,"gld_transactions_per_request","Global Load Transactions Per Request",8.100000,8.100000,8.100000
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",63,"gst_transactions_per_request","Global Store Transactions Per Request",1.000000,1.000000,1.000000
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",63,"shared_store_transactions","Shared Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",63,"shared_load_transactions","Shared Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",63,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",63,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",63,"gld_transactions","Global Load Transactions",162,162,162
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",63,"gst_transactions","Global Store Transactions",1,1,1
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",63,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
