==7317== NVPROF is profiling process 7317, command: ./pathfinder 100000 100 20
==7317== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==7317== Profiling application: ./pathfinder 100000 100 20
==7317== Profiling result:
==7317== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",35,"tex0_cache_sector_queries",295548,325775,305112,10678940
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",35,"tex1_cache_sector_queries",299532,328348,308696,10804382
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",35,"tex0_cache_sector_misses",152618,161433,158265,5539300
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",35,"tex1_cache_sector_misses",153315,163489,160032,5601122
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",35,"fb_subp0_read_sectors",59454,62616,61976,2169179
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",35,"fb_subp1_read_sectors",59460,62634,61989,2169643
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",35,"fb_subp0_write_sectors",16069,16445,16240,568407
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",35,"fb_subp1_write_sectors",15971,16347,16101,563541
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",35,"fb1_subp0_read_sectors",59458,62634,61988,2169606
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",35,"fb1_subp1_read_sectors",59478,62637,61996,2169870
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",35,"fb1_subp0_write_sectors",16014,16430,16206,567226
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",35,"fb1_subp1_write_sectors",15926,16330,16096,563362
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",35,"l2_subp0_write_sector_misses",32123,32875,32446,1135633
