==7355== NVPROF is profiling process 7355, command: ./srad 100 0.5 502 458
==7355== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==7355== Profiling application: ./srad 100 0.5 502 458
==7355== Profiling result:
==7355== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"tex0_cache_sector_queries",57358,57358,57358,57358
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"tex1_cache_sector_queries",57600,57600,57600,57600
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"tex0_cache_sector_misses",43008,43008,43008,43008
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"tex1_cache_sector_misses",43211,43211,43211,43211
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"fb_subp0_read_sectors",8,8,8,8
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"fb_subp1_read_sectors",1,1,1,1
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"fb_subp0_write_sectors",1924,1924,1924,1924
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"fb_subp1_write_sectors",1810,1810,1810,1810
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"fb1_subp0_read_sectors",0,0,0,0
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"fb1_subp1_read_sectors",0,0,0,0
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"fb1_subp0_write_sectors",1992,1992,1992,1992
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"fb1_subp1_write_sectors",1857,1857,1857,1857
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"l2_subp0_write_sector_misses",3916,3916,3916,3916
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"l2_subp1_write_sector_misses",3980,3980,3980,3980
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"l2_subp0_read_sector_misses",8,8,8,8
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"l2_subp1_read_sector_misses",2,2,2,2
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"l2_subp0_read_tex_sector_queries",14368,14368,14368,14368
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"l2_subp1_read_tex_sector_queries",14372,14372,14372,14372
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"l2_subp0_write_tex_sector_queries",14368,14368,14368,14368
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"l2_subp1_write_tex_sector_queries",14372,14372,14372,14372
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"l2_subp0_read_tex_hit_sectors",14368,14368,14368,14368
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"l2_subp1_read_tex_hit_sectors",14371,14371,14371,14371
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"l2_subp0_write_tex_hit_sectors",14368,14368,14368,14368
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"l2_subp1_write_tex_hit_sectors",14372,14372,14372,14372
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"l2_subp0_total_read_sector_queries",14416,14416,14416,14416
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"l2_subp1_total_read_sector_queries",14420,14420,14420,14420
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"l2_subp0_total_write_sector_queries",14376,14376,14376,14376
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"l2_subp1_total_write_sector_queries",14378,14378,14378,14378
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"l2_subp0_read_sysmem_sector_queries",0,0,0,0
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"l2_subp1_read_sysmem_sector_queries",0,0,0,0
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"l2_subp0_write_sysmem_sector_queries",4,4,4,4
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"l2_subp1_write_sysmem_sector_queries",1,1,1,1
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"gld_inst_8bit",0,0,0,0
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"gld_inst_16bit",0,0,0,0
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"gld_inst_32bit",229916,229916,229916,229916
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"gld_inst_64bit",0,0,0,0
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"gld_inst_128bit",0,0,0,0
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"gst_inst_8bit",0,0,0,0
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"gst_inst_16bit",0,0,0,0
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"gst_inst_32bit",229916,229916,229916,229916
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"gst_inst_64bit",0,0,0,0
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"gst_inst_128bit",0,0,0,0
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"prof_trigger_00",0,0,0,0
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"prof_trigger_01",0,0,0,0
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"prof_trigger_02",0,0,0,0
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"prof_trigger_03",0,0,0,0
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"prof_trigger_04",0,0,0,0
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"prof_trigger_05",0,0,0,0
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"prof_trigger_06",0,0,0,0
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"prof_trigger_07",0,0,0,0
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"warps_launched",7200,7200,7200,7200
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"inst_issued0",219839,219839,219839,219839
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"inst_issued1",291693,291693,291693,291693
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"inst_issued2",7185,7185,7185,7185
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"inst_executed",294720,294720,294720,294720
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"thread_inst_executed",9430912,9430912,9430912,9430912
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"not_predicated_off_thread_inst_executed",8511248,8511248,8511248,8511248
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"global_load",7185,7185,7185,7185
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"global_store",7185,7185,7185,7185
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"generic_load",0,0,0,0
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"generic_store",0,0,0,0
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"inst_executed_in_trap",0,0,0,0
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"active_cycles_in_trap",0,0,0,0
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"local_store",0,0,0,0
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"local_load",0,0,0,0
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"shared_load",0,0,0,0
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"shared_store",0,0,0,0
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"inst_executed_shared_atom_cas",0,0,0,0
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"shared_atom",0,0,0,0
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"global_atom_cas",0,0,0,0
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"atom_count",0,0,0,0
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"gred_count",0,0,0,0
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"divergent_branch",0,0,0,0
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"branch",14385,14385,14385,14385
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"shared_ld_bank_conflict",0,0,0,0
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"shared_st_bank_conflict",0,0,0,0
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"shared_ld_transactions",0,0,0,0
"Tesla P100-SXM2-16GB (0)","compress(long, float*)",1,"shared_st_transactions",0,0,0,0
