==17137== NVPROF is profiling process 17137, command: ./srad 100 0.5 502 458
==17137== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==17137== Profiling application: ./srad 100 0.5 502 458
==17137== Profiling result:
==17137== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","reduce(long, int, int, float*, float*)",66,"inst_per_warp","Instructions per warp",161.669306,494.062500,327.865903
"Tesla P100-SXM2-16GB (0)","reduce(long, int, int, float*, float*)",66,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","reduce(long, int, int, float*, float*)",66,"warp_execution_efficiency","Warp Execution Efficiency",80.271980%,99.688541%,89.980440%
"Tesla P100-SXM2-16GB (0)","reduce(long, int, int, float*, float*)",66,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",58.902555%,72.963314%,65.932939%
"Tesla P100-SXM2-16GB (0)","reduce(long, int, int, float*, float*)",66,"inst_replay_overhead","Instruction Replay Overhead",0.004048,0.006158,0.004318
"Tesla P100-SXM2-16GB (0)","reduce(long, int, int, float*, float*)",66,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.660923,1.000000,0.830462
"Tesla P100-SXM2-16GB (0)","reduce(long, int, int, float*, float*)",66,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.693631,0.984375,0.839003
"Tesla P100-SXM2-16GB (0)","reduce(long, int, int, float*, float*)",66,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","reduce(long, int, int, float*, float*)",66,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","reduce(long, int, int, float*, float*)",66,"gld_transactions_per_request","Global Load Transactions Per Request",4.763033,15.946894,10.354964
"Tesla P100-SXM2-16GB (0)","reduce(long, int, int, float*, float*)",66,"gst_transactions_per_request","Global Store Transactions Per Request",1.000000,1.000000,1.000000
"Tesla P100-SXM2-16GB (0)","reduce(long, int, int, float*, float*)",66,"shared_store_transactions","Shared Store Transactions",126,99690,49908
